#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Strong Against,Weak Against,Other,evol_level,evol_cond
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",25,None
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE,"Fight, Poison, Dark, Dragon, Fighting","Bug, Dark, Ghost, Poison, Steel","Not Effective Against Dark, Immune to Dragon",20,None
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE,"Fight, Poison, Dark, Dragon, Fighting","Bug, Dark, Ghost, Poison, Steel","Not Effective Against Dark, Immune to Dragon",30,None
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE,"Fight, Poison, Dark, Dragon, Fighting","Bug, Dark, Ghost, Poison, Steel","Not Effective Against Dark, Immune to Dragon",#N/A,#N/A
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE,"Fight, Poison, Dark, Dragon, Fighting","Bug, Dark, Ghost, Poison, Steel","Not Effective Against Dark, Immune to Dragon",#N/A,#N/A
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE,"Dark, Grass, Psychic, Fire, Ground, Rock","Fire, Flying, Rock, Electric, Grass","nan, nan",22,None
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,23,None
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE,"Ground, Rock, Water, Dark, Ice, Normal, Rock, Steel","Bug, Fire, Flying, Ice, Poison, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,18,None
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,36,None
289,Slaking,Normal,,670,150,160,100,95,65,100,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE,"Dark, Grass, Psychic, Electric, Fire, Poison, Rock, Steel","Fire, Flying, Rock, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",20,None
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE,"Dark, Grass, Psychic, Ghost, Psychic","Fire, Flying, Rock, Dark, Ghost","nan, Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
293,Whismur,Normal,,240,64,51,23,51,23,28,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,20,None
294,Loudred,Normal,,360,84,71,43,71,43,48,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,40,None
295,Exploud,Normal,,490,104,91,63,91,73,68,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,24,None
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,FALSE,"Bug, Fire, Flying, Ice","Fight, Grass, Ground, Steel, Water",nan,#N/A,#N/A
300,Skitty,Normal,,260,50,45,45,35,35,50,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE,"Ghost, Psychic, Ghost, Psychic","Bug, Fairy, Fight, Dark, Ghost","Immunce to Psychic, Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE,"Ghost, Psychic, Ghost, Psychic","Bug, Fairy, Fight, Dark, Ghost","Immunce to Psychic, Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE,"Fairy, Ice, Rock, Dark, Dragon, Fighting","Fight, Fire, Ground, Poison, Steel","Immune to Poison, Immune to Dragon",#N/A,#N/A
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE,"Fairy, Ice, Rock, Dark, Dragon, Fighting","Fight, Fire, Ground, Poison, Steel","Immune to Poison, Immune to Dragon",#N/A,#N/A
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE,"Fairy, Ice, Rock, Bug, Fire, Flying, Ice","Fight, Fire, Ground, Fight, Grass, Ground, Steel, Water","Immune to Poison, nan",32,None
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE,"Fairy, Ice, Rock, Bug, Fire, Flying, Ice","Fight, Fire, Ground, Fight, Grass, Ground, Steel, Water","Immune to Poison, nan",42,None
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE,"Fairy, Ice, Rock, Bug, Fire, Flying, Ice","Fight, Fire, Ground, Fight, Grass, Ground, Steel, Water","Immune to Poison, nan",#N/A,#N/A
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,FALSE,"Fairy, Ice, Rock","Fight, Fire, Ground",Immune to Poison,#N/A,#N/A
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE,"Dark, Ice, Normal, Rock, Steel, Fight, Poison","Fairy, Flying, Psychic, Bug, Dark, Ghost","Not Effective Against Ghost, Not Effective Against Dark",37,None
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE,"Dark, Ice, Normal, Rock, Steel, Fight, Poison","Fairy, Flying, Psychic, Bug, Dark, Ghost","Not Effective Against Ghost, Not Effective Against Dark",#N/A,#N/A
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE,"Dark, Ice, Normal, Rock, Steel, Fight, Poison","Fairy, Flying, Psychic, Bug, Dark, Ghost","Not Effective Against Ghost, Not Effective Against Dark",#N/A,#N/A
309,Electrike,Electric,,295,40,45,40,65,40,65,3,FALSE,"Flying, Water",Ground,Not Effective Against Ground,26,None
310,Manectric,Electric,,475,70,75,60,105,60,105,3,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
311,Plusle,Electric,,405,60,50,40,85,75,95,3,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
312,Minun,Electric,,405,60,40,50,75,85,95,3,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
313,Volbeat,Bug,,400,65,73,55,47,75,85,3,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,#N/A,#N/A
314,Illumise,Bug,,400,65,47,55,73,75,85,3,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,#N/A,#N/A
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,26,None
317,Swalot,Poison,,467,100,73,83,73,83,55,3,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",30,None
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,FALSE,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
320,Wailmer,Water,,400,130,70,35,70,35,60,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,40,None
321,Wailord,Water,,500,170,90,45,90,45,60,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE,"Bug, Grass, Ice, Steel, Electric, Fire, Poison, Rock, Steel","Ground, Rock, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",33,None
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE,"Bug, Grass, Ice, Steel, Electric, Fire, Poison, Rock, Steel","Ground, Rock, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,FALSE,"Bug, Grass, Ice, Steel, Electric, Fire, Poison, Rock, Steel","Ground, Rock, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,32,None
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
327,Spinda,Normal,,360,60,60,60,60,60,60,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,35,None
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE,"Electric, Fire, Poison, Rock, Steel, Dragon","Grass, Ice, Water, Dragon, Fairy, Ice","Immune to Electric; Not Effective Against Flying, Not Effective Against Fairy",45,None
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE,"Electric, Fire, Poison, Rock, Steel, Dragon","Grass, Ice, Water, Dragon, Fairy, Ice","Immune to Electric; Not Effective Against Flying, Not Effective Against Fairy",#N/A,#N/A
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,32,None
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE,"Ground, Rock, Water, Ghost, Psychic","Bug, Fire, Flying, Ice, Poison, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",35,None
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A
334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE,"Dragon, Dark, Dragon, Fighting","Dragon, Fairy, Ice, Poison, Steel","Not Effective Against Fairy, Immune to Dragon",#N/A,#N/A
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
336,Seviper,Poison,,458,73,100,60,100,60,65,3,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,FALSE,"Bug, Fire, Flying, Ice, Fight, Poison","Fight, Grass, Ground, Steel, Water, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,FALSE,"Bug, Fire, Flying, Ice, Fight, Poison","Fight, Grass, Ground, Steel, Water, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",30,None
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
341,Corphish,Water,,308,43,80,65,50,35,35,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,30,None
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,FALSE,"Electric, Fire, Poison, Rock, Steel, Fight, Poison","Grass, Ice, Water, Bug, Dark, Ghost","Immune to Electric; Not Effective Against Flying, Not Effective Against Dark",36,None
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,FALSE,"Electric, Fire, Poison, Rock, Steel, Fight, Poison","Grass, Ice, Water, Bug, Dark, Ghost","Immune to Electric; Not Effective Against Flying, Not Effective Against Dark",#N/A,#N/A
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,FALSE,"Bug, Fire, Flying, Ice, Ground, Rock, Water","Fight, Grass, Ground, Steel, Water, Bug, Fire, Flying, Ice, Poison","nan, nan",40,None
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,FALSE,"Bug, Fire, Flying, Ice, Ground, Rock, Water","Fight, Grass, Ground, Steel, Water, Bug, Fire, Flying, Ice, Poison","nan, nan",#N/A,#N/A
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE,"Bug, Fire, Flying, Ice, Dark, Grass, Psychic","Fight, Grass, Ground, Steel, Water, Fire, Flying, Rock","nan, nan",40,None
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE,"Bug, Fire, Flying, Ice, Dark, Grass, Psychic","Fight, Grass, Ground, Steel, Water, Fire, Flying, Rock","nan, nan",#N/A,#N/A
349,Feebas,Water,,200,20,15,20,10,55,80,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
350,Milotic,Water,,540,95,60,79,100,125,81,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
351,Castform,Normal,,420,70,70,70,70,70,70,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",37,None
354,Banette,Ghost,,455,64,115,65,83,63,65,3,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",37,None
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
359,Absol,Dark,,465,65,130,60,75,60,75,3,FALSE,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,#N/A,#N/A
359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,FALSE,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,#N/A,#N/A
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,15,None
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,FALSE,"Dragon, Flying, Grass, Ground","Fighting, Fire, Rock, Steel",nan,42,None
362,Glalie,Ice,,480,80,80,80,80,80,80,3,FALSE,"Dragon, Flying, Grass, Ground","Fighting, Fire, Rock, Steel",nan,#N/A,#N/A
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,FALSE,"Dragon, Flying, Grass, Ground","Fighting, Fire, Rock, Steel",nan,#N/A,#N/A
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE,"Dragon, Flying, Grass, Ground, Fire, Ground, Rock","Fighting, Fire, Rock, Steel, Electric, Grass","nan, nan",32,None
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE,"Dragon, Flying, Grass, Ground, Fire, Ground, Rock","Fighting, Fire, Rock, Steel, Electric, Grass","nan, nan",44,None
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE,"Dragon, Flying, Grass, Ground, Fire, Ground, Rock","Fighting, Fire, Rock, Steel, Electric, Grass","nan, nan",#N/A,#N/A
366,Clamperl,Water,,345,35,64,85,74,55,32,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
367,Huntail,Water,,485,55,104,105,94,75,52,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE,"Fire, Ground, Rock, Bug, Fire, Flying, Ice","Electric, Grass, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,FALSE,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,30,None
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,FALSE,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,50,None
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,FALSE,"Fairy, Ice, Rock, Fight, Poison","Fight, Fire, Ground, Bug, Dark, Ghost","Immune to Poison, Not Effective Against Dark",20,None
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,FALSE,"Fairy, Ice, Rock, Fight, Poison","Fight, Fire, Ground, Bug, Dark, Ghost","Immune to Poison, Not Effective Against Dark",45,None
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE,"Fairy, Ice, Rock, Fight, Poison","Fight, Fire, Ground, Bug, Dark, Ghost","Immune to Poison, Not Effective Against Dark",#N/A,#N/A
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE,"Fairy, Ice, Rock, Fight, Poison","Fight, Fire, Ground, Bug, Dark, Ghost","Immune to Poison, Not Effective Against Dark",#N/A,#N/A
377,Regirock,Rock,,580,80,100,200,50,100,50,3,TRUE,"Bug, Fire, Flying, Ice","Fight, Grass, Ground, Steel, Water",nan,#N/A,#N/A
378,Regice,Ice,,580,80,50,100,100,200,50,3,TRUE,"Dragon, Flying, Grass, Ground","Fighting, Fire, Rock, Steel",nan,#N/A,#N/A
379,Registeel,Steel,,580,80,75,150,75,150,50,3,TRUE,"Fairy, Ice, Rock","Fight, Fire, Ground",Immune to Poison,#N/A,#N/A
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE,"Dragon, Fight, Poison","Dragon, Fairy, Ice, Bug, Dark, Ghost","Not Effective Against Fairy, Not Effective Against Dark",#N/A,#N/A
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,TRUE,"Dragon, Fight, Poison","Dragon, Fairy, Ice, Bug, Dark, Ghost","Not Effective Against Fairy, Not Effective Against Dark",#N/A,#N/A
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,TRUE,"Dragon, Fight, Poison","Dragon, Fairy, Ice, Bug, Dark, Ghost","Not Effective Against Fairy, Not Effective Against Dark",#N/A,#N/A
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,TRUE,"Dragon, Fight, Poison","Dragon, Fairy, Ice, Bug, Dark, Ghost","Not Effective Against Fairy, Not Effective Against Dark",#N/A,#N/A
382,Kyogre,Water,,670,100,100,90,150,140,90,3,TRUE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,TRUE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
383,Groudon,Ground,,670,100,150,140,100,90,90,3,TRUE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,TRUE,"Electric, Fire, Poison, Rock, Steel, Bug, Grass, Ice, Steel","Grass, Ice, Water, Ground, Rock, Water","Immune to Electric; Not Effective Against Flying, nan",#N/A,#N/A
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE,"Fairy, Ice, Rock, Fight, Poison","Fight, Fire, Ground, Bug, Dark, Ghost","Immune to Poison, Not Effective Against Dark",#N/A,#N/A
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
387,Turtwig,Grass,,318,55,68,64,45,55,31,4,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,18,None
388,Grotle,Grass,,405,75,89,85,55,65,36,4,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,32,None
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE,"Ground, Rock, Water, Electric, Fire, Poison, Rock, Steel","Bug, Fire, Flying, Ice, Poison, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,14,None
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE,"Bug, Grass, Ice, Steel, Dark, Ice, Normal, Rock, Steel","Ground, Rock, Water, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",36,None
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,FALSE,"Bug, Grass, Ice, Steel, Dark, Ice, Normal, Rock, Steel","Ground, Rock, Water, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
393,Piplup,Water,,314,53,51,53,61,56,40,4,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,16,None
394,Prinplup,Water,,405,64,66,68,81,76,50,4,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,36,None
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE,"Fire, Ground, Rock, Fairy, Ice, Rock","Electric, Grass, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",14,None
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",34,None
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,15,None
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,FALSE,"None, Fire, Ground, Rock","Fighting, Electric, Grass","Immune to Ghost; Not Effective Against Ghost, nan",#N/A,#N/A
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,10,None
